QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,PRODUCTLINE,CUSTOMERNAME,COUNTRY
39,100.0,10,3900.0,29/04/2003,Shipped,2,Planes,"Australian Collectors, Co.",Australia
29,72.23,11,2094.67,29/04/2003,Shipped,2,Vintage Cars,"Australian Collectors, Co.",Australia
49,50.62,12,2480.38,29/04/2003,Shipped,2,Vintage Cars,"Australian Collectors, Co.",Australia
47,82.21,13,3863.87,29/04/2003,Shipped,2,Planes,"Australian Collectors, Co.",Australia
43,76.0,14,3268.0,29/04/2003,Shipped,2,Planes,"Australian Collectors, Co.",Australia
24,100.0,15,2400.0,29/04/2003,Shipped,2,Planes,"Australian Collectors, Co.",Australia
44,74.85,1,3293.4,07/05/2003,Shipped,2,Motorcycles,Reims Collectables,France
32,76.88,2,2460.16,07/05/2003,Shipped,2,Motorcycles,Reims Collectables,France
25,86.74,3,2168.5,07/05/2003,Shipped,2,Motorcycles,Reims Collectables,France
50,100.0,4,5000.0,07/05/2003,Shipped,2,Motorcycles,Reims Collectables,France
34,81.35,5,2765.9,07/05/2003,Shipped,2,Motorcycles,Reims Collectables,France
31,100.0,1,3100.0,08/05/2003,Shipped,2,Classic Cars,Marseille Mini Autos,France
34,100.0,2,3400.0,08/05/2003,Shipped,2,Classic Cars,Marseille Mini Autos,France
25,100.0,3,2500.0,08/05/2003,Shipped,2,Classic Cars,Marseille Mini Autos,France
39,30.96,4,1207.44,08/05/2003,Shipped,2,Classic Cars,Marseille Mini Autos,France
43,100.0,5,4300.0,08/05/2003,Shipped,2,Classic Cars,Marseille Mini Autos,France
43,72.38,6,3112.34,08/05/2003,Shipped,2,Classic Cars,Marseille Mini Autos,France
20,100.0,7,2000.0,08/05/2003,Shipped,2,Classic Cars,Marseille Mini Autos,France
37,99.82,8,3693.34,08/05/2003,Shipped,2,Classic Cars,Marseille Mini Autos,France
34,50.21,9,1707.14,08/05/2003,Shipped,2,Classic Cars,Marseille Mini Autos,France
42,100.0,10,4200.0,08/05/2003,Shipped,2,Classic Cars,Marseille Mini Autos,France
32,63.84,11,2042.88,08/05/2003,Shipped,2,Classic Cars,Marseille Mini Autos,France
21,100.0,12,2100.0,08/05/2003,Shipped,2,Classic Cars,Marseille Mini Autos,France
21,73.17,13,1536.57,08/05/2003,Shipped,2,Classic Cars,Marseille Mini Autos,France
29,71.14,14,2063.06,08/05/2003,Shipped,2,Classic Cars,Marseille Mini Autos,France
28,100.0,15,2800.0,08/05/2003,Shipped,2,Classic Cars,Marseille Mini Autos,France
35,49.74,16,1740.9,08/05/2003,Shipped,2,Motorcycles,Marseille Mini Autos,France
31,44.66,17,1384.46,08/05/2003,Shipped,2,Motorcycles,Marseille Mini Autos,France
50,59.87,1,2993.5,20/05/2003,Shipped,2,Classic Cars,Atelier graphique,France
26,100.0,2,2600.0,20/05/2003,Shipped,2,Classic Cars,Atelier graphique,France
46,100.0,3,4600.0,20/05/2003,Shipped,2,Classic Cars,Atelier graphique,France
34,100.0,4,3400.0,20/05/2003,Shipped,2,Classic Cars,Atelier graphique,France
32,100.0,1,3200.0,21/05/2003,Shipped,2,Vintage Cars,"Australian Collectors, Co.",Australia
22,45.25,1,995.5,21/05/2003,Shipped,2,Vintage Cars,Signal Gift Stores,USA
34,100.0,2,3400.0,21/05/2003,Shipped,2,Vintage Cars,"Australian Collectors, Co.",Australia
45,37.84,2,1702.8,21/05/2003,Shipped,2,Vintage Cars,Signal Gift Stores,USA
42,100.0,3,4200.0,21/05/2003,Shipped,2,Vintage Cars,Signal Gift Stores,USA
46,33.23,4,1528.58,21/05/2003,Shipped,2,Vintage Cars,Signal Gift Stores,USA
42,53.88,5,2262.96,21/05/2003,Shipped,2,Vintage Cars,Signal Gift Stores,USA
21,100.0,6,2100.0,21/05/2003,Shipped,2,Vintage Cars,Signal Gift Stores,USA
36,85.59,7,3081.24,21/05/2003,Shipped,2,Vintage Cars,Signal Gift Stores,USA
23,57.73,8,1327.79,21/05/2003,Shipped,2,Classic Cars,Signal Gift Stores,USA
25,93.95,9,2348.75,21/05/2003,Shipped,2,Classic Cars,Signal Gift Stores,USA
32,72.7,10,2326.4,21/05/2003,Shipped,2,Classic Cars,Signal Gift Stores,USA
49,83.04,11,4068.96,21/05/2003,Shipped,2,Classic Cars,Signal Gift Stores,USA
22,77.9,12,1713.8,21/05/2003,Shipped,2,Classic Cars,Signal Gift Stores,USA
43,100.0,13,4300.0,21/05/2003,Shipped,2,Classic Cars,Signal Gift Stores,USA
27,100.0,1,2700.0,28/05/2003,Shipped,2,Trucks and Buses,"Corrida Auto Replicas, Ltd",Spain
43,65.02,2,2795.86,28/05/2003,Shipped,2,Trucks and Buses,"Corrida Auto Replicas, Ltd",Spain
43,96.31,3,4141.33,28/05/2003,Shipped,2,Trucks and Buses,"Corrida Auto Replicas, Ltd",Spain
22,100.0,4,2200.0,28/05/2003,Shipped,2,Classic Cars,"Corrida Auto Replicas, Ltd",Spain
50,100.0,5,5000.0,28/05/2003,Shipped,2,Trucks and Buses,"Corrida Auto Replicas, Ltd",Spain
45,100.0,6,4500.0,28/05/2003,Shipped,2,Classic Cars,"Corrida Auto Replicas, Ltd",Spain
26,62.7,7,1630.2,28/05/2003,Shipped,2,Trucks and Buses,"Corrida Auto Replicas, Ltd",Spain
21,100.0,8,2100.0,28/05/2003,Shipped,2,Trucks and Buses,"Corrida Auto Replicas, Ltd",Spain
43,53.83,9,2314.69,28/05/2003,Shipped,2,Vintage Cars,"Corrida Auto Replicas, Ltd",Spain
38,100.0,10,3800.0,28/05/2003,Shipped,2,Trucks and Buses,"Corrida Auto Replicas, Ltd",Spain
38,100.0,11,3800.0,28/05/2003,Shipped,2,Classic Cars,"Corrida Auto Replicas, Ltd",Spain
31,90.17,12,2795.27,28/05/2003,Shipped,2,Vintage Cars,"Corrida Auto Replicas, Ltd",Spain
30,97.39,13,2921.7,28/05/2003,Shipped,2,Vintage Cars,"Corrida Auto Replicas, Ltd",Spain
46,73.7,14,3390.2,28/05/2003,Shipped,2,Vintage Cars,"Corrida Auto Replicas, Ltd",Spain
34,100.0,15,3400.0,28/05/2003,Shipped,2,Vintage Cars,"Corrida Auto Replicas, Ltd",Spain
38,82.34,16,3128.92,28/05/2003,Shipped,2,Vintage Cars,"Corrida Auto Replicas, Ltd",Spain
42,54.99,17,2309.58,28/05/2003,Shipped,2,Vintage Cars,"Corrida Auto Replicas, Ltd",Spain
42,100.0,1,4200.0,03/06/2003,Shipped,2,Classic Cars,Muscle Machine Inc,USA
46,100.0,2,4600.0,03/06/2003,Shipped,2,Classic Cars,Muscle Machine Inc,USA
46,100.0,3,4600.0,03/06/2003,Shipped,2,Classic Cars,Muscle Machine Inc,USA
46,69.12,4,3179.52,03/06/2003,Shipped,2,Trains,Muscle Machine Inc,USA
25,100.0,5,2500.0,03/06/2003,Shipped,2,Classic Cars,Muscle Machine Inc,USA
29,70.84,6,2054.36,03/06/2003,Shipped,2,Trains,Muscle Machine Inc,USA
20,96.99,7,1939.8,03/06/2003,Shipped,2,Classic Cars,Muscle Machine Inc,USA
20,60.69,8,1213.8,03/06/2003,Shipped,2,Classic Cars,Muscle Machine Inc,USA
46,100.0,9,4600.0,03/06/2003,Shipped,2,Trucks and Buses,Muscle Machine Inc,USA
45,100.0,10,4500.0,03/06/2003,Shipped,2,Classic Cars,Muscle Machine Inc,USA
24,100.0,11,2400.0,03/06/2003,Shipped,2,Trucks and Buses,Muscle Machine Inc,USA
39,38.19,12,1489.41,03/06/2003,Shipped,2,Classic Cars,Muscle Machine Inc,USA
45,51.95,13,2337.75,03/06/2003,Shipped,2,Trucks and Buses,Muscle Machine Inc,USA
45,100.0,14,4500.0,03/06/2003,Shipped,2,Trucks and Buses,Muscle Machine Inc,USA
22,100.0,15,2200.0,03/06/2003,Shipped,2,Classic Cars,Muscle Machine Inc,USA
43,92.16,1,3962.88,06/06/2003,Shipped,2,Vintage Cars,Euro Shopping Channel,Spain
41,100.0,2,4100.0,06/06/2003,Shipped,2,Vintage Cars,Euro Shopping Channel,Spain
32,97.0,3,3104.0,06/06/2003,Shipped,2,Ships,Euro Shopping Channel,Spain
41,100.0,4,4100.0,06/06/2003,Shipped,2,Trains,Euro Shopping Channel,Spain
50,77.99,1,3899.5,12/06/2003,Shipped,2,Vintage Cars,"Stylish Desk Decors, Co.",UK
33,100.0,2,3300.0,12/06/2003,Shipped,2,Classic Cars,"Stylish Desk Decors, Co.",UK
45,85.29,3,3838.05,12/06/2003,Shipped,2,Ships,"Stylish Desk Decors, Co.",UK
41,94.71,4,3883.11,12/06/2003,Shipped,2,Vintage Cars,"Stylish Desk Decors, Co.",UK
31,60.0,5,1860.0,12/06/2003,Shipped,2,Ships,"Stylish Desk Decors, Co.",UK
42,91.15,6,3828.3,12/06/2003,Shipped,2,Ships,"Stylish Desk Decors, Co.",UK
30,85.41,7,2562.3,12/06/2003,Shipped,2,Ships,"Stylish Desk Decors, Co.",UK
32,64.97,8,2079.04,12/06/2003,Shipped,2,Ships,"Stylish Desk Decors, Co.",UK
45,100.0,9,4500.0,12/06/2003,Shipped,2,Ships,"Stylish Desk Decors, Co.",UK
33,100.0,1,3300.0,16/06/2003,Shipped,2,Vintage Cars,Auto-Moto Classics Inc.,USA
40,100.0,1,4000.0,16/06/2003,Shipped,2,Planes,Gift Ideas Corp.,USA
40,96.34,2,3853.6,16/06/2003,Shipped,2,Ships,Auto-Moto Classics Inc.,USA
26,85.13,2,2213.38,16/06/2003,Shipped,2,Planes,Gift Ideas Corp.,USA
50,81.89,3,4094.5,16/06/2003,Shipped,2,Planes,Gift Ideas Corp.,USA
